Data,Preco_Previsto
2025-05-13,61.54408690333366
2025-05-14,61.84508218169212
2025-05-15,61.921520578861234
2025-05-16,61.7950716972351
2025-05-17,61.81613043546676
2025-05-18,62.13887167423963
2025-05-19,62.0330434769392
2025-05-20,62.32920006811619
2025-05-21,62.3717194288969
2025-05-22,62.28250914812087
2025-05-23,62.54488334357738
2025-05-24,62.34809666872024
2025-05-25,62.588664621114724
2025-05-26,62.554825961589806
2025-05-27,62.76051839292049
2025-05-28,62.77235790491104
2025-05-29,62.41883232742548
2025-05-30,62.80555756837129
2025-05-31,62.671227735280986
2025-06-01,62.65508002340793
2025-06-02,63.19329957664012
2025-06-03,63.09597123265266
2025-06-04,63.017282283306116
2025-06-05,63.12088002264499
2025-06-06,63.24825725704431
2025-06-07,63.342708109319204
2025-06-08,63.34376908391714
2025-06-09,63.24298453480005
2025-06-10,63.50809556245803
2025-06-11,63.66679566055536
